name,acronym,country,name_variant,type
National Fund for Scientific and Technological Development,FONDECYT,Chile,ANID/FONDECYT,Funder
"Ministry of Science, Technology and Innovation",MinCiencias,Colombia,,Funder
"Consejo Nacional de Ciencia y Tecnología",CONACYT,Mexico,,Funder
"Consejo Nacional de Ciencia, Tecnología e Innovación Tecnológica",CONCYTEC,Peru,,Funder
National Research Fund,NRF,Kenya,,Funder
Tertiary Education Trust Fund,TETFund,Nigeria,,Funder
Ministry of Higher Education Malaysia Grants System,MyGRANTS,Malaysia,MOHE,Funder
National Research Council of Thailand,NRCT,Thailand,Thai National Research Repository,Funder
National Foundation for Science and Technology Development,NAFOSTED,Vietnam,,Funder
International Development Research Centre,IDRC,Canada,,Funder
Inter-American Development Bank,IDB,International,IADB,Funder
Qatar National Research Fund,QNRF,Qatar,,Funder
National Agency for Research and Innovation,ANII,Uruguay,Agencia Nacional de Investigación e Innovación,Funder
"National Agency for the Promotion of Research, Technological Development and Innovation",Agencia I+D+i,Argentina,,Funder
National Research Foundation,NRF,South Africa,,Funder
"Secretaría de Educación Superior, Ciencia, Tecnología e Innovación",SENESCYT,Ecuador,,Funder
"Ministry of Science, Technology and Telecommunications",MICITT,Costa Rica,,Funder
Carlos Chagas Filho Research Support Foundation,FAPERJ,Brazil,,Funder
Minas Gerais Research Foundation,FAPEMIG,Brazil,,Funder
Funding Authority for Studies and Projects,FINEP,Brazil,,Funder
Uganda National Council for Science and Technology,UNCST,Uganda,,Funder
Tanzania Commission for Science and Technology,COSTECH,Tanzania,,Funder
Alliance for Accelerating Excellence in Science in Africa,AESA,International (Africa),,Funder
Lembaga Pengelola Dana Pendidikan,LPDP,Indonesia,Indonesia Endowment Fund for Education,Funder
National Research and Innovation Agency,BRIN,Indonesia,,Funder
Department of Science and Technology,DOST,Philippines,,Funder
Higher Education Commission,HEC,Pakistan,,Funder
University Grants Commission,UGC,Bangladesh,,Funder
National Science Foundation,NSF,Sri Lanka,,Funder
Nepal Academy of Science and Technology,NAST,Nepal,,Funder
National Agency for Research on AIDS and Viral Hepatitis,ANRS,France,ANRS MIE,Funder
"French Agency for Food, Environmental and Occupational Health & Safety",ANSES,France,,Funder
National Cancer Institute,INCa,France,Institut National du Cancer|French National Cancer Institute,Funder
Hubert Curien Partnerships,PHC,France,Partenariat Hubert Curien,Funder
Hospital Program for Clinical Research,PHRC,France,Programme Hospitalier de Recherche Clinique,Funder
France 2030 Investment Plan,PIA,France,Programme d’Investissements d’Avenir|Investissements d'Avenir|Labex|Equipex|France 2030,Funder
China Scholarship Council,CSC,China,Chinese Scholarship Council,Funder
Engineering and Physical Sciences Research Council,EPSRC,United Kingdom,,Funder
Natural Environment Research Council,NERC,United Kingdom,,Funder
Medical Research Council,MRC,United Kingdom,,Funder
Economic and Social Research Council,ESRC,United Kingdom,,Funder
Science and Technology Facilities Council,STFC,United Kingdom,,Funder
European Regional Development Fund,ERDF,European Union,FEDER - Fonds européen de développement régional,Funder
Royal Society,,United Kingdom,,Funder
Russian Science Foundation,,Russia,,Funder
Russian Foundation for Basic Research,,Russia,,Funder
EUROfusion,,European Union,,Funder
Institut universitaire de France,IUF,France,,Funder
Région Ile de France,,France,Région IdF,Funder
Région Pays de la Loire,,France,,Funder
Région Bretagne,,France,Brittany region,Funder
Région Grand Est,,France,Région Alsace|Région Lorraine,Funder
Région Auvergne Rhône Alpes,,France,Région Auvergne|Région Rhône Alpes|Rhône-Alpes Region,Funder
Région Occitanie,,France,Région Midi Pyrénées,Funder
Région Nouvelle Aquitaine,,France,Conseil régional d'aquitaine,Funder
Région Hauts-de-France,,France,Région Nord pas de calais|Hauts-de-France Region|Nord-Pas de Calais Regional Council,Funder
Région Normandie,,France,,Funder
Centre-Val de Loire,,France,Région centre,Funder
Région Provence-Alpes-Côte d'Azur,,France, Région PACA,Funder
Region Bourgogne-Franche-Comté,,France,Région Bourgogne|Regional Council of Burgundy,Funder
Walloon Region,,Belgium,,Funder
Research Foundation Flanders,FWO,Belgium,,Funder
Research Council of Norway,,Norway,,Funder
Leverhulme Trust,,United Kingdom,,Charity
Fondation de France,,France,,Funder
Fondation pour la Recherche Médicale,FRM,France,,Funder
Generalitat de Catalunya,,Spain,,Funder
Generalitat Valenciana,,Spain,,Funder
Comunidad de Madrid,,Spain,,Funder
Xunta de Galicia,,Spain,,Funder
Junta de Andalucía,,Spain,,Funder
Alexander von Humboldt Foundation,,Germany,,Funder
Campus France,,France,,Funder
BPIFrance,,France,BPI|BPI France,Funder
European Space Agency,ESA,European Union,,Funder
Cancer Research UK,,United Kingdom,,Funder
Ministry of Economy and Competitiveness,MINECO,Spain,,Funder
European Social Fund,ESF,European Union,,Funder
Knut and Alice Wallenberg Foundation,,Sweden,Wallenberg Foundation|KAW Foundation,Charity
Science Foundation Ireland,,Ireland,,Funder
Irish Research Council,,Ireland,,Funder
British Heart Foundation,,United Kingdom,,Funder
Slovenian Research Agency,,Slovenia,,Funder
"Ministry of Education, Culture, Sports, Science and Technology",MEXT,Japan,,Funder
Gordon and Betty Moore Foundation,,United States,Moore Foundation,Charity
Kavli Foundation,,United States,,Charity
Ligue Nationale Contre le Cancer,,France,,Funder
Human Frontier Science Program,HFSP,International,,Funder
Fyssen Foundation,,France,Fondation Fryssen,Funder
Croatian Science Foundation,,Croatia,,Funder
Estonian Research Council,,Estonia,,Funder
Lundbeck Foundation,,Denmark,,Funder
Villum Foundation,,Denmark,Villum Fonden,Funder
Sigrid Jusélius Foundation,,Finland,,Funder
Minerva Foundation,,Finland,,Funder
Jane and Aatos Erkko Foundation,,Finland,,Funder
Crafoord Foundation,,Sweden,,Funder
Emil Aaltonen Foundation,,Finland,,Funder
Slovak Research and Development Agency,,Slovakia,,Funder
Volkswagen Foundation,,Germany,,Charity
Carlsberg Foundation,,Germany,,Charity
Fondation Bettencourt Schueller,,France,,Charity
Ville de Paris,,France,City of Paris,Funder
Rennes Métropole,,France,,Funder
Nantes Métropole,,France,,Funder
Métropole Européenne de Lille,,France,,Funder
Fonds National de la Recherche Luxembourg,LNR,Luxembourg,Luxembourg National Research Fund,Funder
Fondation ARC pour la recherche sur le cancer,,France,Fondation ARC,Funder
Welch Foundation,,United States,,Funder
Cariplo Foundation,,Italy,,Charity
Michael J. Fox Foundation,,United States,Fox Foundation,Funder
Heising-Simons Foundation,,United States,HS Foundation,Funder
Fondation Leducq,,France,,Funder
Association Française contre les Myopathies,AFM,France,,Funder
Swedish Foundation for Strategic Research,SFSR,Sweden,,Funder
Total Foundation,,France,,Funder
la Caixa Foundation,,Spain,,Funder
Prince Albert II of Monaco Foundation,,Moncao,,Charity
BNP Paribas Foundation,,France,,Funder
Jenny and Antti Wihuri Foundation,,,,Funder
W. M. Keck Foundation,,France,W. Keck Foundation,Funder
Fondation de l'Avenir,,France,,Funder
